title,company,summary,job_location,post_date,salary,availability
"Senior Software Engineer, iOS",Jumpcloud,"You’ll be mostly responsible for working with iOS-based clients, however, an interest and knowledge of other languages and systems is very interesting to us as…","Remote in Charlotte, NC",Posted30+ days ago,Estimated $132K - $167K a year,Full-time
Lead Software Engineer - Big Data,Lowe's,Lowe's Data Analytics and Computational Intelligence (DACI) organization is seeking a best-in-class Lead Software Engineer preferably with experience leading…,"Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted30+ days ago,None,Full-time
newSoftware Engineer 1,Honeywell,"Be part of a team that designs, develops and integrates highly complex software functions within Honeywell [SBG].
Write well-designed, testable code.","Fort Mill, SC 29707",Posted4 days ago,None,None
"Software Engineer, Full Stack",Movement Mortgage,"Our team is building digital ecosystems used by thousands of loan originators, realtors and borrowers designed to increase customer acquisition, improve…","Indian Land, SC 29707",Posted30+ days ago,Estimated $89.6K - $113K a year,Full-time
newSite Reliability Engineer - Front End - Remote,Kraken Digital Asset Exchange,"You will bring your own technical expertise to monitor and support staging and production environments, build tooling, CI/CD pipelines, deployment specs and…","Remote in Charlotte, NC",Posted2 days ago,Estimated $110K - $139K a year,Full-time
React + Python Developer - Remote - USA,FullStack Labs,"We're looking to hire several mid-level and senior full-stack React + Python developers to join our team.
Sustained growth of 100% - 200% per year.","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
newDevOps Engineer,Moody's Investors Service,"The ideal candidate will be a highly motivated individual with a focus on scripting, automation, continuous integration and deployment.","Charlotte, NC",Posted3 days ago,None,Full-time
Software Engineer II,C.H. Robinson,"As a Software Engineer on our Contractual team at CH Robinson, you will collaborate with our data science teams in upstream R&D projects, perform functional…","Charlotte, NC 28273 (Olde Whitehall area)",Posted30+ days ago,None,None
DevOps Cloud Architect - NBI_US,Deloitte,"Developing templates or scripts to automate everyday developer or operations functions.
The position will be focused on supporting Deloitte GPS (Government and…","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted30+ days ago,None,Full-time
newAVP - Software Engineering,Moody's Investors Service,A successful candidate will be accountable for managing the overall quality and timely delivery of application support services; improve stability &…,"Charlotte, NC+1 location",Posted3 days ago,None,Full-time
Senior Engineer,Bank of America,"As a Senior Engineer, the candidate will be responsible for leading and providing technical oversight for multiple teams working on Insights and Personalization…","Charlotte, NC 28202 (Third Ward area)",Posted11 days ago,None,Full-time
newSr. Systems Engineering (DevOps),Moody's,Help cultivate a developer-centric atmosphere by identifying and lowering hurdles which get in the way of efficient and enjoyable coding practices.,"Charlotte, NC 28201 (Myers Park area)",Posted4 days ago,None,None
Site Reliability Engineer for Infra,Deloitte,"Proficient as a developer, experienced writing code and solving problems in Python.
As an experienced Site Reliability Engineer -Infra, you will have the…","Charlotte, NC 28202 (Downtown Charlotte area)+2 locations",Posted14 days ago,None,Full-time
Lead Software Engineer,Deloitte,"Teams do this by bringing together advanced analytics, robust domain knowledge and experience, and strong technology products to help clients monitor, manage,…","Charlotte, NC 28202 (Downtown Charlotte area)",Posted30+ days ago,None,Full-time
Senior Java Software Engineer - VMware Skyline - Opportunity...,VMware,"Develop on-premise virtual appliance components in java, bash/shell, python.
Our software includes on-premise data collection along with a backend data services…","Charlotte, NC+1 location",Posted30+ days ago,None,Full-time
Google Cloud Platform Developer,Deloitte,Educate customers of all sizes on the value proposition of Public Cloud and participate in deep architectural discussions to ensure solutions are designed for…,"Charlotte, NC 28202 (Downtown Charlotte area)+16 locations",Posted30+ days ago,None,Full-time
Lead Engineer-Kubernetes,Verizon,"The individual will Architect, Engineer, and implement an enterprise wide Kubernetes platform to implement simple/automated Cloud adoption to containers…","Charlotte, NC 28273 (Olde Whitehall area)",Posted23 days ago,None,Full-time
"Software Engineering, AVP - Hybrid",MUFG,"Working on any IB&M initiative requiring the assistance of the developer.
Interacting closely with project managers, internal constituents, and external vendors…","Hybrid remote in Charlotte, NC",Posted30+ days ago,None,Full-time
newSite Reliability Engineer,WELLS FARGO BANK,"Wells Fargo is seeking a Senior Systems Operations Engineer.
Within the CLT (Consumer Lending Technology) Personal Lending Technology Platform support Group…","Charlotte, NC",Posted3 days ago,None,Full-time
AVP Database Developer,ZM Financial Systems,"5+ years of experience working as a database developer and/or DBA using SQL Server 2012 and higher.
Our data, analytical solutions and insights help decision…","Charlotte, NC",Posted30+ days ago,Estimated $124K - $157K a year,Full-time
newSenior Software Developer,"Arrow Electronics, Inc.","Consistently develop and test software programs and applications according to specifications.
Assist in the definition, development, and documentation of…","Remote in Charlotte, NC 28262",Posted5 days ago,None,Full-time
"newSenior Software Engineer, Fullstack - Opportunity for Workin...",VMware,"We work at the forefront of these new feature offerings, partnering with customers and our SEBU engineering team to develop early prototypes and new product…","Remote in Charlotte, NC+1 location",Posted5 days ago,None,Full-time
CRR & FCM Software Engineer III,Truist Financial,"If you have a disability and need assistance with the application, you can request a reasonable accommodation.
1st shift (United States of America).","Remote in Charlotte, NC 28269+1 location",Posted25 days ago,None,Full-time
Senior Software Engineer (Open Source Program) - Remote,New Relic,"New Relic’s Open Source Program Office was established to scale efforts in using, delivering, contributing to, and participating in open source.","Remote in Charlotte, NC 28201+2 locations",Posted17 days ago,Estimated $116K - $147K a year,Full-time
newRuby on Rails Full Stack Engineer (remote),Ascend Learning,"Maintain an active testing suite as well as a strong QA process that the developer will be personally responsible for.
5+ Years of development experience.","Remote in Charlotte, NC 28208",Posted4 days ago,Estimated $121K - $153K a year,Full-time
Senior Cloud Engineer,Ellucian,"Deliver support and automation in such a way as to focus on migrating Banner customers to Ellucian Managed Cloud.
Experience implementing CI/CD (e.g., Jenkins).","Remote in Charlotte, NC",Posted13 days ago,Estimated $118K - $149K a year,Full-time
Member of Technical Staff - Opportunity for Working Remotely...,VMware,Join a talented team of developers using a wide variety of latest cloud technologies to solve big problems while partnering with threat researchers who are on…,"Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
newDevOps Engineer – REMOTE USA,Mandiant,"The successful candidate will work on requirements gathering, design and development of software components, support existing customers and automation.","Remote in Charlotte, NC",Posted5 days ago,None,None
SCADA and Automation Engineer - Senior Level (REMOTE),"POWER Engineers, Inc.",The successful candidate will be responsible for the successful completion of assigned projects and for maintaining and improving client relationships as well…,"Remote in Fort Mill, SC+1 location",Posted18 days ago,None,None
NSX - Service Reliability Engineer - Opportunity for Working...,VMware,"Coordinates activities with Account team from Sales, Engineering, Solution Architects and Global Support Services to ensure all customer needs are met.","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
Sr. Security Engineer - Opportunity for Working Remotely Cha...,VMware,"We, also, have a good presence of technical product managers, full stack developers, and security architects.
Within 90 days, you'll show competency in handling…","Remote in Charlotte, NC+1 location",Posted30+ days ago,None,Full-time
newSite Reliability Engineer (Remote),Xplor,"Our mission is to protect and provide for the software and systems behind Xplor’s services with an ever-watchful eye on their availability, latency, performance…","Remote in Charlotte, NC",Posted5 days ago,None,Full-time
Lead Software Engineer – QE (Quality Engineer),Lowe's,The primary purpose of this role is to provide consultation and technical direction on translating business requirements and functional specifications into…,"Charlotte, NC 28202 (Downtown Charlotte area)",Posted30+ days ago,None,Full-time
Staff Engineer - Developer Productivity - Opportunity for Wo...,VMware,VMware's Cloud-based Disaster Recovery (VCDR) offers an easy-to-use SaaS solution to provide DR capability for vSphere-based Software Defined Data Centers (SDDC…,"Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
DevOps / Systems Engineer - Kubernetes - US Citizen,Salesforce,"""U.S. citizen (U.S. born or naturalized) who does not hold dual citizenship.
You will understand and apply a wide variety of concepts, practices, and procedures…","Charlotte, NC",Posted30+ days ago,None,"$98,900 a year"
"Director, Cyber Security - Cloud, DevOps, HashiCorp",KPMG,"Deliver leading practices for HashiCorp Vault/Terraform/Consul deployments and operations.
Work with clients and project teams to assess, design, implement, and…","Charlotte, NC 28202 (Fourth Ward area)",Posted30+ days ago,None,None
Sr. Modernization Architect,"Amazon Web Services, Inc.","BS level technical degree or 10+ years of relevant professional or military experience.
7+ years of large-scale software development or application engineering…","Charlotte, NC",Posted30+ days ago,None,Full-time
Sr. Member Of Technical Staff - Opportunity for Working Remo...,VMware,"Deliver product features in a highly-scalable microservice environment, implemented on AWS.
Work with technical architects and technical leaders to deliver high…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
"Senior, Software Dev Engrg",3D Systems,"Be a production and operations domain expert to the development teams, guiding and advising on how to best implement services, serve our customers, and iterate…","Rock Hill, SC 29730+1 location",Posted10 days ago,Estimated $108K - $137K a year,None
newSenior Software Developer,"Arrow Electronics, Inc.","Consistently develop and test software programs and applications according to specifications.
Assist in the definition, development, and documentation of…","Remote in Charlotte, NC 28262",Posted5 days ago,None,Full-time
Sr. Member Of Technical Staff - Opportunity for Working Remo...,VMware,"Deliver product features in a highly-scalable microservice environment, implemented on AWS.
Work with technical architects and technical leaders to deliver high…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
Cloud Engineer,Ally Financial,"Partners with cloud engineers, information security, core infrastructure teams and application developers to enable agility through best-in-class automation and…","Charlotte, NC+2 locations",Posted30+ days ago,None,Full-time
Senior Software Engineer (Open Source Program) - Remote,New Relic,"New Relic’s Open Source Program Office was established to scale efforts in using, delivering, contributing to, and participating in open source.","Remote in Charlotte, NC 28201+2 locations",Posted17 days ago,Estimated $116K - $147K a year,Full-time
"Principal Software Engineer, Data",Ally Financial,"Ability to provide guidance, oversight, and peer review to more junior database developers.
Provide technical leadership and support on all the stages of data…","Remote in Charlotte, NC 28202+2 locations",Posted30+ days ago,None,Full-time
AVP Database Developer,ZM Financial Systems,"5+ years of experience working as a database developer and/or DBA using SQL Server 2012 and higher.
Our data, analytical solutions and insights help decision…","Charlotte, NC",Posted30+ days ago,Estimated $124K - $157K a year,Full-time
Lead Informatica Engineer,WELLS FARGO BANK,"Acting as a lead developer and providing application design, guidance, and consultation utilizing a thorough understanding of applicable technology tools and…","Charlotte, NC",Posted12 days ago,None,Full-time
newSenior Software Engineer,Deloitte,"At Human Experiences (Hux) by Deloitte Digital, we aim at delivering elevated human experience by re-inventing digital advertising & marketing, powered by data,…","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted7 days ago,None,Full-time
Software Engineer II,C.H. Robinson,"As a Software Engineer on our Contractual team at CH Robinson, you will collaborate with our data science teams in upstream R&D projects, perform functional…","Charlotte, NC 28273 (Olde Whitehall area)",Posted30+ days ago,None,None
"newSenior Software Engineer, Fullstack - Opportunity for Workin...",VMware,"We work at the forefront of these new feature offerings, partnering with customers and our SEBU engineering team to develop early prototypes and new product…","Remote in Charlotte, NC+1 location",Posted5 days ago,None,Full-time
Lead Software Engineer - Remote,EPAM Systems,"You enjoy living by the code of your craft and developing elegant solutions for complex problems.
Takes ownership and accountability for technology solution and…","Remote in Charlotte, NC",Posted30+ days ago,None,None
DevOps Cloud Architect - NBI_US,Deloitte,"Developing templates or scripts to automate everyday developer or operations functions.
The position will be focused on supporting Deloitte GPS (Government and…","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted30+ days ago,None,Full-time
Senior Firmware Engineer,Sealed Air Corporation,We seek firmware developers to design innovative packaging equipment and user-oriented electrical controls using their unique creativity and extensive embedded…,"Charlotte, NC 28208 (Eagle Lake area)",Posted17 days ago,Estimated $107K - $136K a year,None
Backend Data Engineer,Chingari,"5-7 years of strong design/development experience in building massively large scale, high throughput low latency distributed internet systems and products.","Remote in Charlotte, NC",Posted30+ days ago,Estimated $128K - $162K a year,None
Lead Engineer-Kubernetes,Verizon,"The individual will Architect, Engineer, and implement an enterprise wide Kubernetes platform to implement simple/automated Cloud adoption to containers…","Charlotte, NC 28273 (Olde Whitehall area)",Posted23 days ago,None,Full-time
Senior Software Engineer - Identity & Access Management (US...,Splunk,We are seeking a Senior Software Engineer with proven experience in digital identity governance and access control to join us on the journey of modernizing and…,"Remote in Charlotte, NC",Posted30+ days ago,None,"$115,000 a year"
Software Engineer/Full-Stack Developer,Truist Financial,"If you have a disability and need assistance with the application, you can request a reasonable accommodation.
1st shift (United States of America).","Remote in Charlotte, NC 28269+2 locations",Posted30+ days ago,None,Full-time
Principal Software Engineer - REMOTE - Location Negotiable,Accenture,"Accenture Security helps organizations prepare, protect, detect, respond and recover along all points of the security lifecycle.","Remote in Charlotte, NC 28244",Posted30+ days ago,None,Full-time
newSENIOR MIDDLEWARE ENGINEER- CLT/REMOTE,Compass Group USA,Understanding the existing middleware environment and setting up the next-generation end-to-end infrastructure using AWS cloud and micro services.,"Remote in Charlotte, NC 28217",Posted6 days ago,None,None
Senior Performance Test Engineer - Opportunity for Working R...,VMware,"Partner with other performance engineers and developers to develop best practices, author blogs and white papers, and present internally, at conferences, and…","Remote in Charlotte, NC+1 location",Posted30+ days ago,None,Full-time
"Prof. Services Architect, DevOps & Observability",Splunk,"Ability to stop, collaborate and listen with technical and non-technical consumers from application developers to executive level partners.","Charlotte, NC",Posted30+ days ago,None,"$115,000 a year"
Kernel Engineer - Ubuntu Linux,Canonical - Jobs,"Enabling Ubuntu on a wide range of embedded systems.
Livepatch service, which allows Ubuntu customers to apply critical kernel (CVE) security fixes without…","Remote in Charlotte, NC+2 locations",Posted16 days ago,Estimated $109K - $138K a year,None
Web Performance Engineer,Vanguard,"Driven by core tenets of modern marketing – agile marketing, digital experience, Big Data, customer-centricity, compelling content, and marketing automation –…","Charlotte, NC",Posted30+ days ago,None,None
Senior Site Reliability Database Engineer,Credit Karma,The Site Reliability Database Engineering team is responsible for the persistent data tier and the infrastructure that ensure the availability and reliability…,"Charlotte, NC 28277 (Ballantyne East area)+1 location",Posted23 days ago,Estimated $113K - $143K a year,None
Site Reliability Engineer,Grid Dynamics,"You will work with business partners to define SLOs and SLIs.
Monitoring the job failure email and addressing them in a timely manner.","Charlotte, NC 28262 (University City North area)",Posted30+ days ago,Estimated $108K - $137K a year,Full-time
C++ / Middleware Tech Lead for Merchant Technology,Bank of America,"The candidate is expected to take initiatives in new project development and lead in all aspects of the SDLC process.
DOM/SAX-implementation using C++.","Charlotte, NC 28202 (Third Ward area)",Posted30+ days ago,None,Full-time
DevOps / Infrastructure Engineer - Comfy | Enlighted Job Opp...,Siemens,"Headquartered in Oakland, California, with expertise in machine learning, UX design and enterprise service, Comfy develops software solutions for everyone —…","Remote in Charlotte, NC 28277",Posted30+ days ago,None,Full-time
"Manager, Site Reliability Engineering",Intelerad,"The SRE team is a blend of pragmatic operators and software craftspeople that apply sound engineering principles, operational discipline, and mature automation…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
Software Engineering Manager - Ubuntu Linux Kernel,Canonical - Jobs,"These teams handle upstream development and the expression of new kernel capabilities in Ubuntu, they work with silicon and cloud partners to optimise the…","Remote in Charlotte, NC+1 location",Posted16 days ago,Estimated $128K - $162K a year,None
Senior Solutions Architect (Tanzu Observability by Wavefront...,VMware,"Tanzu Observability by Wavefront (SaaS based offering) a core component of VMware’s leading-edge Modern Apps Platform BU is looking for a seasoned, highly…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
CRR & FCM Software Engineer III,Truist Financial,"If you have a disability and need assistance with the application, you can request a reasonable accommodation.
1st shift (United States of America).","Remote in Charlotte, NC 28269",Posted25 days ago,None,Full-time
Senior QA Automation Engineer,Deloitte,"Supporting and independently completing test orchestration across the SDLC which will require problem solving using analysis, experience, and decision making.","Charlotte, NC 28202 (Downtown Charlotte area)",Posted30+ days ago,None,Full-time
Senior Software Engineer,"Epiq Systems, Inc.","Proactively mentor fellow developers in areas of expertise.
Collaborate with fellow developers in areas of expertise as well as members of business unit.","Charlotte, NC",Posted30+ days ago,Estimated $106K - $134K a year,Full-time
Senior Linux Test Automation Engineer - Opportunity for Work...,VMware,"Collaborate with developers to find and fix bugs in the source code of our products.
The Carbon Black Cloud team is looking for a Senior or Principal level…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
Software Engineering Manager - Ubuntu Linux Kernel,Canonical - Jobs,"These teams handle upstream development and the expression of new kernel capabilities in Ubuntu, they work with silicon and cloud partners to optimise the…","Remote in Charlotte, NC+1 location",Posted16 days ago,Estimated $128K - $162K a year,None
Principal Software Engineer - REMOTE - Location Negotiable,Accenture,"Accenture Security helps organizations prepare, protect, detect, respond and recover along all points of the security lifecycle.","Remote in Charlotte, NC 28244",Posted30+ days ago,None,Full-time
Senior Solutions Architect (Tanzu Observability by Wavefront...,VMware,"Tanzu Observability by Wavefront (SaaS based offering) a core component of VMware’s leading-edge Modern Apps Platform BU is looking for a seasoned, highly…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
"Software Engineering, AVP - Hybrid",MUFG,"Working on any IB&M initiative requiring the assistance of the developer.
Interacting closely with project managers, internal constituents, and external vendors…","Hybrid remote in Charlotte, NC",Posted30+ days ago,None,Full-time
DevOps Cloud Architect - NBI_US,Deloitte,"Developing templates or scripts to automate everyday developer or operations functions.
The position will be focused on supporting Deloitte GPS (Government and…","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted30+ days ago,None,Full-time
US Tech - DevOps Lead,PRICE WATERHOUSE COOPERS,"You’ll focus on managing the design and implementation of technology infrastructure within PwC, developing and enhancing both client and internal facing…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
newSenior Software Developer,"Arrow Electronics, Inc.","Consistently develop and test software programs and applications according to specifications.
Assist in the definition, development, and documentation of…","Remote in Charlotte, NC 28262",Posted5 days ago,None,Full-time
Senior Firmware Engineer,Sealed Air Corporation,We seek firmware developers to design innovative packaging equipment and user-oriented electrical controls using their unique creativity and extensive embedded…,"Charlotte, NC 28208 (Eagle Lake area)",Posted17 days ago,Estimated $107K - $136K a year,None
Sr. Member Of Technical Staff - Opportunity for Working Remo...,VMware,"Deliver product features in a highly-scalable microservice environment, implemented on AWS.
Work with technical architects and technical leaders to deliver high…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
Principal Full Stack Software Engineer - Siemens Comfy | Enl...,Siemens,"You'll be part of the brain-trust that our engineering and product leadership will rely on to advise us on what's possible, what's sensible, and what's simple.","Remote in Charlotte, NC+1 location",Posted23 days ago,None,Full-time
"Machine Learning Engineer, Alexa AI - Conversational Experie...",Amazon.com Services LLC,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.","Charlotte, NC",Posted30+ days ago,None,Full-time
Staff Site Reliability Engineer (Kubernetes) - Opportunity f...,VMware,"Identifying opportunities to improve efficiency of our CI/CD pipeline and optimize developer productivity.
Knowledge and interest in cloud native security will…","Remote in Charlotte, NC+1 location",Posted30+ days ago,None,Full-time
DevOps Engineer,Ally Financial,"You’ll work with customers, developers, architects and operations teams to troubleshoot and solve complex technical issues in a timely manner.","Charlotte, NC",Posted30+ days ago,None,Full-time
Senior Reliability Lead,"Amazon Web Services, Inc.",Represent the voice for developers internally and influence our AWS Professional Services offerings and AWS product strategy for developers by working with AWS…,"Charlotte, NC",Posted19 days ago,None,Full-time
Site Reliability Engineer,Accenture,Collaborating with developers to promote the concept of reliability engineering during all phases of the SDLC to detect and correct performance issues earlier…,"Charlotte, NC 28244 (Downtown Charlotte area)",Posted30+ days ago,None,Full-time
Sr. Security DevOps Engineer,Corning,Bachelor's degree; 4-6 years of experience as a systems developer -Additional years of relevant experience may be considered in lieu of Bachelor's degree.,"Charlotte, NC 28216 (Oakdale South area)+1 location",Posted27 days ago,None,None
"Manager, Software Engineer (Dev Ops)",KPMG,Experience evangelizing OpenShift and DevOps with development teams who may not be familiar with containers; deep knowledge of Kubernetes and Linux…,"Charlotte, NC 28202 (Fourth Ward area)",Posted30+ days ago,None,None
Data Scientist/Machine Learning Engineer - Sr. Associate,PRICE WATERHOUSE COOPERS,"Possesses considerable level of ability to work as a solutions architect, technical product manager, software engineer or frontend/backend web developer for…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
"Manager, Site Reliability Engineering",Intelerad,"The SRE team is a blend of pragmatic operators and software craftspeople that apply sound engineering principles, operational discipline, and mature automation…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
"Prof. Services Architect, DevOps & Observability",Splunk,"Ability to stop, collaborate and listen with technical and non-technical consumers from application developers to executive level partners.","Charlotte, NC",Posted30+ days ago,None,"$115,000 a year"
Senior Cloud Engineer,Ellucian,"Deliver support and automation in such a way as to focus on migrating Banner customers to Ellucian Managed Cloud.
Experience implementing CI/CD (e.g., Jenkins).","Remote in Charlotte, NC",Posted13 days ago,Estimated $118K - $149K a year,Full-time
Senior Mobile Developer - Tech Lead,PRICE WATERHOUSE COOPERS,"Working collaboratively with other developers, including participating in code reviews;
Our team helps organisations align their business and operational…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
Senior DevOps Architect,"Amazon Web Services, Inc.","Bachelor Degree or 10+ years of professional or military experience.
8+ years of experience as a technical specialist.","Charlotte, NC",Posted30+ days ago,None,Full-time
Senior Application Engineer - Frontend Technologies,Vanguard,"Collaborate with product owners, UX designers, data analysts, scrum masters, and developers to develop a world-class user experience.","Charlotte, NC",Posted30+ days ago,None,None
Tax - DevOps - Senior - TTC,Deloitte,"You will be working directly with the Application Architect in evaluating new tools, technologies, and processes to improve speed, efficiency, and scalability…","Charlotte, NC 28202 (Downtown Charlotte area)",Posted30+ days ago,None,Full-time
AVP - AWS Developer,ZM Financial Systems,"Lead and provide technical leadership to architects, developers, engineers, and operators in geographically dispersed location.","Charlotte, NC",Posted30+ days ago,Estimated $107K - $136K a year,Full-time
Digital Products - Front End Developer - Sr Associate,PRICE WATERHOUSE COOPERS,A career in Products and Technology is an opportunity to bring PwC's strategy to life by driving products and technology into everything we deliver.,"Charlotte, NC 28202 (Fourth Ward area)+1 location",Posted8 days ago,None,None
Site Reliability Engineer,Advance Auto Parts,"We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin,…","Charlotte, NC 28202 (Downtown Charlotte area)",Posted30 days ago,None,Full-time
Backend Data Engineer,Chingari,"5-7 years of strong design/development experience in building massively large scale, high throughput low latency distributed internet systems and products.","Remote in Charlotte, NC",Posted30+ days ago,Estimated $128K - $162K a year,None
US Tech - DevOps Lead,PRICE WATERHOUSE COOPERS,"A career in Information Technology, within Internal Firm Services, will provide you with the opportunity to support our core business functions by deploying…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
Principal Backend Software Engineer - Siemens Comfy | Enligh...,Siemens,"Will considered Remote workers in one of Siemens' Hub Cities.
Building Robotics, Inc. (BRI) is a Siemens-owned business on a mission to connect employees to the…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
"Machine Learning Engineer, Alexa AI - Conversational Experie...",Amazon.com Services LLC,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.","Charlotte, NC",Posted30+ days ago,None,Full-time
NIS - Senior Sailpoint Developer (Remote),PRICE WATERHOUSE COOPERS,"A career in Information Security, within Internal Firm Services, will provide you with the opportunity to develop and support our internal security technologies…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
Senior Mobile Developer - Tech Lead,PRICE WATERHOUSE COOPERS,"Working collaboratively with other developers, including participating in code reviews;
A career in our Digital and Applications Design practice, within…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
Tax - DevOps - Senior - TTC,Deloitte,The role of technology in tax functions has grown exponentially in importance as resource needs change and tax regulations become more rigorous.,"Charlotte, NC 28202 (Downtown Charlotte area)",Posted30+ days ago,None,Full-time
Sr. Security DevOps Engineer,Corning,Bachelor's degree; 4-6 years of experience as a systems developer -Additional years of relevant experience may be considered in lieu of Bachelor's degree.,"Charlotte, NC 28216 (Oakdale South area)+1 location",Posted27 days ago,None,None
Digital Products - Devops Manager,PRICE WATERHOUSE COOPERS,"Background as a developer a strong plus;
At PwC, we expect our DevOps engineers to work side-by-side with our software developers and solution architects to…","Remote in Charlotte, NC 28202+1 location",Posted30+ days ago,None,None
API Engineer,Ally Financial,"601 S. Tryon Street, Charlotte, NC.
Ally Financial only succeeds when its people do - and that’s more than some cliché people put on job postings.","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted30+ days ago,None,Full-time
Data Scientist/Machine Learning Engineer - Sr. Associate,PRICE WATERHOUSE COOPERS,"Possesses considerable level of ability to work as a solutions architect, technical product manager, software engineer or frontend/backend web developer for…","Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
"Manager, DevOps",Sunbelt Rentals,"Sunbelt Rentals strives to be the customer's first choice in the equipment rental industry.
From pumps to scaffolding to general construction tools, we aim to…","Fort Mill, SC 29715",Posted30+ days ago,None,Full-time
Digital Products - Site Reliability Engineer (SRE - DBaaS),PRICE WATERHOUSE COOPERS,A career in Products and Technology is an opportunity to bring PwC's strategy to life by driving products and technology into everything we deliver.,"Remote in Charlotte, NC 28202",Posted30+ days ago,None,None
Engineering Manager - Software Operator Tech (Python/Kuberne...,Canonical - Jobs,"You have experience in leading, managing, coaching and mentoring software developers towards delivering timely, high quality software together with them.","Remote in Charlotte, NC+2 locations",Posted30+ days ago,Estimated $122K - $155K a year,None
"Sr. Associate, Cyber Security - Cloud, DevOps Engineer",KPMG,"Deliver leading practices for HashiCorp Vault/Terraform/Consul deployments and operations.
Work with clients and project teams to assess, design, implement, and…","Charlotte, NC 28202 (Fourth Ward area)",Posted30+ days ago,None,None
"newSenior Manager, Software Engineering",Carrier,"Ability to mentor junior software developers, as well as to collaborate with all stakeholders.
The selected individual should possess broad experience in the…","Charlotte, NC 28269",Posted5 days ago,None,Full-time
Member of Technical Staff - Test Engineering - Opportunity f...,VMware,To deliver on this mission we are looking for a Quality-focused Member of Technical Staff to drive key projects within our Production Engineering group.,"Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
Senior Firmware Engineer,Sealed Air Corporation,We seek firmware developers to design innovative packaging equipment and user-oriented electrical controls using their unique creativity and extensive embedded…,"Charlotte, NC 28208 (Eagle Lake area)",Posted17 days ago,Estimated $107K - $136K a year,None
Sr. Cloud Site Reliability Engineer (SRE),The Standard,"We are seeking an experienced Cloud SRE that will partner with our cross-functional product delivery teams (that include data engineers, scientists, analysts,…","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
newPython Developer with Quartz,Pioneer IT Solutions,"Creative, quick-thinking and an aptitude for solving problems with technology.
Familiarity with using design and architectural patterns.","Charlotte, NC+1 location",Hiring ongoing,Estimated $116K - $147K a year,Full-time
Python Developer,MAMSYS CONSULTING SERVICES,"Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.","Charlotte, NC+1 location",Posted20 days ago,None,"From $120,000 a year"
Python Developer,CapB InfoteK,"Integration of user-oriented elements into different applications, data storage solutions.
Developing Backend components to enhance performance and…","Charlotte, NC+1 location",Posted30+ days ago,Estimated $107K - $136K a year,None
Python Developer with Quartz,Okaya Corp,"Creative, quick-thinking and an aptitude for solving problems with technology.
Familiarity with using design and architectural patterns.","Charlotte, NC+1 location",Hiring ongoing,Estimated $116K - $147K a year,Full-time
Senior Customer Identity Solutions Specialist,Okta,"As a Solutions Engineer at Okta, you will build sales presentations, product demonstrations and educate customers at every level, from developers to product…","Remote in Charlotte, NC",Posted30+ days ago,None,"$193,000 a year"
JR LAMP Developer,Summaware LLC,"Candidate must have PHP and Python skills and a basic knowledge of Linux server environments.
The ideal candidate will have created complete PHP and/or Python…","Mooresville, NC 28117",EmployerActive 5 days ago,None,"$55,000 - $70,000 a year"
FULL STACK DEVELOPER,Quality Counts LLC,"3+ years’ experience in commercial software application development (react.js, node.js, python, HTML5).
Paid Time Off & Volunteer Time Off.","Charlotte, NC 28217 (Clanton Park-Roseland area)",Posted30+ days ago,None,"$100,000 - $120,000 a year"
Python Developer,Technodeed Inc,Acts in the highest-level technical role as an individual contributor and/or team lead for the most complex computer applications and/or application initiatives…,"Charlotte, NC",Posted30+ days ago,None,None
