title,company,summary,job_location,post_date,salary,availability
newInformation Engineer – BI Platforms,Truist Financial,"The position is described below.
If you want to apply, click the Apply button at the top or bottom of this page.
1st shift (United States of America).","Charlotte, NC 28269",Posted5 days ago,None,Full-time
"Python/Java/C++, SQL/PL Feature Lead - Risk Technology",Bank of America,Lead Software developer- This role requires an experienced software developer lead who is looking forward to work with XVA Counterparty Portfolio Management…,"Charlotte, NC 28202 (First Ward area)",Posted13 days ago,None,Full-time
"Software Developer, Sr",Electric Power Research Institute,"May lead less experienced software developers and small projects.
Primary developer of input for effort, schedule and scope estimation.","Charlotte, NC 28262 (University City North area)",Posted13 days ago,Estimated $89.7K - $114K a year,Full-time
Cloud Engineer -,ZM Financial Systems,"Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others.","Charlotte, NC",Posted30+ days ago,Estimated $96.9K - $123K a year,Full-time
Software Engineer (Python/Linux/Packaging),Canonical - Jobs,"Snapcraft allows developers to deliver app updates to millions of Linux systems automatically, eliminating the long tail of supported releases and complex…","Remote in Charlotte, NC+10 locations",Posted30+ days ago,Estimated $128K - $162K a year,None
Platform Engineer I Red Platform,Red Ventures,"Our engineers work on a variety of things like information collection and retrieval, distributed computing, large-scale system design, networking, data storage,…","Remote in Charlotte, NC",Posted9 days ago,Estimated $110K - $140K a year,None
Software Engineer III,Bank of America,This role is expected to contribute to the foundational design of NFRR Platform roadmap and develop core (re-usable) framework components spanning the full…,"Charlotte, NC 28202 (Third Ward area)+8 locations",Posted30+ days ago,None,Full-time
newDevOps Engineer,Bank of America,"This position is for a DevOps Engineer role within a diverse cross-functional team.
Collaborate with application development teams and provide operational…","Charlotte, NC 28202 (Third Ward area)+1 location",Posted6 days ago,None,Full-time
"Software Engineer, Backend",Jumpcloud,"Experience developing distributed systems, microservices, and REST APIs (including using them as integration points with third-party applications) in a variety…","Remote in Charlotte, NC",Posted30+ days ago,Estimated $119K - $150K a year,Full-time
Software Engineering Manager,Microsoft,"4+ years of experience as an Agile practitioner (certified scrum master, scrum developer, scrum professional, etc.).
Good understanding of CI/CD pipelines.","Charlotte, NC",Posted13 days ago,None,Full-time
newAssociate DevOps Engineer,Humanity,"Ability to write clear technical documentation for use by developers and testers.
Work with senior developers and hardware teams to update infrastructure and OS…","Charlotte, NC+3 locations",Posted1 day ago,Estimated $73.7K - $93.3K a year,Full-time
newSolutions Architect – Tanzu Mission Control - Opportunity fo...,VMware,"Tanzu Mission Control (TMC), a core SaaS delivered component of VMware’s leading-edge Modern Apps & Management Business Group is looking for a seasoned, highly…","Remote in Charlotte, NC+1 location",Posted3 days ago,None,Full-time
"Software Engineer I, Risk Technology",Bank of America,"Responsible for developing and delivering software to accomplish business goals.
Ensures that software is developed to meet functional and non-functional…","Charlotte, NC 28202 (Fourth Ward area)+1 location",Posted30+ days ago,None,Full-time
"Python, PySpark, Scala Developer",Deloitte,"Function as an integrator between business needs and technology solutions, helping to create technology solutions to meet clients' requirements.","Charlotte, NC 28202 (Downtown Charlotte area)+5 locations",Posted30+ days ago,None,Full-time
newSite Reliability Engineer,WELLS FARGO BANK,"Wells Fargo is seeking a Senior Systems Operations Engineer.
Within the CLT (Consumer Lending Technology) Personal Lending Technology Platform support Group…","Charlotte, NC",Posted3 days ago,None,Full-time
"Full Stack Engineer, Integrations",Jumpcloud,"4+ years of industry/production programming experience.
Skilled in backend service development, ideally using Golang and/or NodeJS, or other languages (Java,…","Remote in Charlotte, NC",Posted30+ days ago,Estimated $104K - $131K a year,Full-time
Security Engineer - Applications / DevOps (REMOTE),eXp Realty,EXp develops and uses the latest and greatest cloud technology and engineering frameworks to build and deploy enterprise-class products for its agents worldwide…,"Remote in Charlotte, NC",Posted9 days ago,Estimated $124K - $157K a year,Full-time
newCloud Engineer - (100% Remote Throughout US),Moody's Investors Service,"Assist business and technology teams in resolving cloud issues and incidents.
Coordinate with cloud provider support teams and Moody’s teams to solve problems…","Remote in Charlotte, NC",Posted3 days ago,None,Full-time
"Senior Software Engineer, Office of the CTO, SASE, K8s - Opp...",VMware,"Expected to build up a working knowledge of at least one of our key technology areas and be familiar with code check-in, code review, and development process.","Remote in Charlotte, NC+5 locations",Posted9 days ago,None,Full-time
Platform Engineer I Red Platform,Red Ventures,"Our engineers work on a variety of things like information collection and retrieval, distributed computing, large-scale system design, networking, data storage,…","Remote in Charlotte, NC",Posted9 days ago,Estimated $110K - $140K a year,None
Software Engineer II,Microsoft,"Ability to provide technical leadership to other developers.
Commerce Financial Services (CFS) Corporate Finance Engineering builds and manages the critical…","Charlotte, NC+4 locations",Posted27 days ago,None,Full-time
Cloud Engineer -,ZM Financial Systems,"Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others.","Charlotte, NC",Posted30+ days ago,Estimated $96.9K - $123K a year,Full-time
newSolutions Architect – Tanzu Mission Control - Opportunity fo...,VMware,"Tanzu Mission Control (TMC), a core SaaS delivered component of VMware’s leading-edge Modern Apps & Management Business Group is looking for a seasoned, highly…","Remote in Charlotte, NC+1 location",Posted3 days ago,None,Full-time
DevOps Engineer,Empowered Benefits,"Creativity and coding aren’t mutually exclusive and you’re progressive with programming.
And you can act as a liaison between clients, systems engineers and…","Charlotte, NC 28202 (Fourth Ward area)",Posted30+ days ago,Estimated $97.4K - $123K a year,Full-time
Senior Developer Relations Engineer,New Relic,"Traveling: meeting developers where they are and exploring their cultures.
1-2 years of professional developer relations or community engagement experience.","Remote in Charlotte, NC 28201",Posted13 days ago,Estimated $98.6K - $125K a year,Full-time
